Recording;Frequency in list;Note in list;Error;Note name;Freq theorical;Dif freq;Cents;Tuned
1472.5;1479.9776908465376;F6#;7.477690846537598;F6#;1479.9776908465376;-7.477690846537598;8.769353768203725;True
1552.0;1567.9817439269968;G6;15.981743926996842;G6;1567.9817439269968;-15.981743926996842;17.736245605037922;True
1649.5;1661.2187903197807;G6#;11.718790319780737;G6#;1661.2187903197807;-11.718790319780737;12.255981151674675;True
1751.5;1760.0;A6;8.5;A6;1760.0;-8.5;8.381328867115865;True
1857.5;1864.6550460723593;A6#;7.155046072359255;A6#;1864.6550460723593;-7.155046072359255;6.6558617184408435;True
1963.5;1975.533205024497;B6;12.033205024496965;B6;1975.533205024497;-12.033205024496965;10.577397029915684;True
2076.0;2093.004522404789;C7;17.004522404788986;C7;2093.004522404789;-17.004522404788986;14.122782200134369;True
2217.0;2217.4610478149766;C7#;0.4610478149766095;C7#;2217.4610478149766;-0.4610478149766095;0.35999038882273926;True
100.0;97.99885899543732;G2;2.001141004562683;D7;2349.318143339261;-2249.318143339261;5465.004228499922;False
2473.5;2489.0158697766474;D7#;15.515869776647378;D7#;2489.0158697766474;-15.515869776647378;10.825835239243636;True
2626.0;2637.020455302959;E7;11.020455302958908;E7;2637.020455302959;-11.020455302958908;7.250215158126886;True
2805.0;2793.8258514640315;F7;11.17414853596847;F7;2793.8258514640315;11.17414853596847;-6.910410365794408;True
2966.5;2959.955381693075;F7#;6.544618306924804;F7#;2959.955381693075;6.544618306924804;-3.8236247223985136;True
3172.0;3135.9634878539937;G7;36.03651214600632;G7;3135.9634878539937;36.03651214600632;-19.780810615183047;True
3353.5;3322.4375806395615;G7#;31.062419360438525;G7#;3322.4375806395615;31.062419360438525;-16.11060782812715;True
189.0;184.9972113558172;F3#;4.0027886441828;A7;3520.0;-3331.0;5062.940747164304;False
188.0;184.9972113558172;F3#;3.0027886441828002;A7#;3729.3100921447185;-3541.3100921447185;5172.125034216427;False
4001.0;3951.066410048994;B7;49.93358995100607;B7;3951.066410048994;49.93358995100607;-21.74223978513037;True
208.0;207.65234878997256;G3#;0.34765121002743626;C8;4186.009044809578;-3978.009044809578;5197.103994460281;False
