Recording;Frequency in list;Note in list;Error;Note name;Freq theorical;Dif freq;Cents;Tuned
467.5;466.1637615180898;A4#;1.3362384819101862;A4#;466.1637615180898;1.3362384819101862;-4.955409500407624;True
493.5;493.88330125612424;B4;0.38330125612424126;B4;493.88330125612424;-0.38330125612424126;1.3441268819146095;True
523.5;523.2511306011972;C5;0.2488693988027535;C5;523.2511306011972;0.2488693988027535;-0.8232160873785913;True
554.25;554.3652619537442;C5#;0.11526195374415238;C5#;554.3652619537442;-0.11526195374415238;0.35999038882273926;True
589.25;587.3295358348153;D5;1.9204641651847396;D5;587.3295358348153;1.9204641651847396;-5.651595670609117;True
622.75;622.2539674441618;D5#;0.49603255583815553;D5#;622.2539674441618;0.49603255583815553;-1.3795112594121945;True
657.75;659.2551138257397;E5;1.505113825739727;E5;659.2551138257397;-1.505113825739727;3.9570164305239492;True
701.5;698.4564628660079;F5;3.0435371339921176;F5;698.4564628660079;3.0435371339921176;-7.527496114287085;True
743.0;739.9888454232688;F5#;3.011154576731201;F5#;739.9888454232688;3.011154576731201;-7.030424416723912;True
787.0;783.9908719634984;G5;3.009128036501579;G5;783.9908719634984;3.009128036501579;-6.632134379392551;True
831.5;830.6093951598904;G5#;0.8906048401096314;G5#;830.6093951598904;0.8906048401096314;-1.8552877151311475;True
884.0;880.0;A5;4.0;A5;880.0;4.0;-7.851415040126329;True
934.25;932.3275230361796;A5#;1.9224769638203725;A5#;932.3275230361796;1.9224769638203725;-3.566161827302232;True
986.75;987.7666025122485;B5;1.0166025122484825;B5;987.7666025122485;-1.0166025122484825;1.7826915578678377;True
1049.0;1046.5022612023945;C6;2.497738797605507;C6;1046.5022612023945;2.497738797605507;-4.127098863129719;True
1108.5;1108.7305239074883;C6#;0.23052390748830476;C6#;1108.7305239074883;-0.23052390748830476;0.35999038882273926;True
1179.75;1174.6590716696305;D6;5.090928330369479;D6;1174.6590716696305;5.090928330369479;-7.486891134619414;True
1249.0;1244.5079348883237;D6#;4.492065111676311;D6#;1244.5079348883237;4.492065111676311;-6.237657699957284;True
1317.0;1318.5102276514795;E6;1.510227651479454;E6;1318.5102276514795;-1.510227651479454;1.984099921773895;True
1387.25;1396.9129257320158;F6;9.662925732015765;F6;1396.9129257320158;-9.662925732015765;12.017151048233725;True
1485.25;1479.9776908465376;F6#;5.272309153462402;F6#;1479.9776908465376;5.272309153462402;-6.156431609402668;True
1581.0;1567.9817439269968;G6;13.018256073003158;G6;1567.9817439269968;13.018256073003158;-14.314326600453878;True
1656.5;1661.2187903197807;G6#;4.718790319780737;G6#;1661.2187903197807;-4.718790319780737;4.924670532374422;True
1760.5;1760.0;A6;0.5;A6;1760.0;0.5;-0.4917580061659205;True
